STC_RFS_DATE,EQPT_NAME,GOLD_ORDER_NUMBER,IC01_ID,cust_name,OCEANE_Site,OCEANE_Product_Identifier2
"07/02/2021 11:45:10",ABZM313,10-1306249,30075,"Philip Morris International",NL-BZM-PMI,"No Data Found"
"07/02/2021 11:45:10",ABZM287,10-1306249,30075,"Philip Morris International",NL-BZM-PMI,"No Data Found"
"07/02/2021 11:45:10",ABZM092,10-1306249,30075,"Philip Morris International",NL-BZM-PMI,"No Data Found"
"07/28/2021 06:05:26",KSUB1165,10-1329911,30075,"Philip Morris International",30075_IDN_Surabaya_00010,"No Data Found"
NULL,ABEY030,10-1206913,30075,"Philip Morris International","No Data Found","No Data Found"
"04/14/2021 11:15:18",KQJB30384,10-1286229,686387,"Saipem SpA","686387_SAU_Al Jubail_003","No Data Found"
"07/28/2021 06:05:26",KSUB1362,10-1329911,30075,"Philip Morris International",30075_IDN_Surabaya_00010,"No Data Found"
"07/15/2021 19:14:12",KBUE1071,10-1244695,30075,"Philip Morris International",AR-BUE-OLI,"No Data Found"
NULL,PSYQ30034,10-1302735,10524,"MAERSK Line AS","10524_CRI_San José_002","No Data Found"
"07/28/2021 06:05:26",KSUB1289,10-1329911,30075,"Philip Morris International",30075_IDN_Surabaya_00010,"No Data Found"
"07/02/2021 11:45:10",ABZM311,10-1306249,30075,"Philip Morris International",NL-BZM-PMI,"No Data Found"
"07/26/2021 14:31:17",AZRN084,,9594,"GlaxoSmithKline Services Unlimited",9594_CHE_Nyon_007,"No Data Found"
"07/02/2021 11:45:10",ABZM129,10-1306249,30075,"Philip Morris International",NL-BZM-PMI,"No Data Found"
"07/23/2021 20:52:38",ACSU097,10-1245795,30075,"Philip Morris International","BR-DSU-PMI  - MS09000949","No Data Found"
"07/23/2021 20:52:38",KCSU1138,10-1245795,30075,"Philip Morris International","BR-DSU-PMI  - MS09000949","No Data Found"
